Unique,Text,Average Score,Type,source_id
15908$OSUR,$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,0.552,stocktwits,14631536
15136$ORCL,"RT @Street_Insider $ORCL shares down 7% afterhours: Q2 EPS 54c, misses by 3c, sales $8.8B, vs. cons. $9.2B; adds $5B to buyback program",-0.518,stocktwits,6167290
16640$ORCL,"My $ORCL comes back. :-) I had three earning yesterday.  $ADBE shorted, there was only 1% short float. and $PSUN long. Very nice profit.:-)",0.337,stocktwits,21174505
16225$OPTT,"Never told this before, but the situation is ""Buy the dip"": $KNDI, $OPTT, $OMER, $DNDN, $MBLX, $MSTX, $IFON, $IMUC, $LF, $TGA",0.38,stocktwits,22409313
15055$OPK,$OPK  The U / D volume ratio is 2.7 & management ownership holds 57% of total outstanding stock. Major skin in the game...positive.,0.471,stocktwits,5792305
16905$OPK,$OPK Like this one a lot.,0.538,stocktwits,35161526
15243$ONTY,RT @highgrowthfinancial shorts breakin flag in $ONTY holding,0.226,stocktwits,6663729
15391$ONTY,RT @Montisumo Down day for all biotechs Good to load up Be confident. $ONTY $CHTP $AIS $HGSI $DNDN >> Agreed $IBB $XBI all same downness,0.12,stocktwits,6783339
17028$ONTY,"$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.",0.3,stocktwits,37935490
16775$ONCY,$ONCY So sad to see such a loved company eating dirt.,-0.453,stocktwits,37878654
16225$OMER,"Never told this before, but the situation is ""Buy the dip"": $KNDI, $OPTT, $OMER, $DNDN, $MBLX, $MSTX, $IFON, $IMUC, $LF, $TGA",0.38,stocktwits,22409313
16104$OKSB,"$OKSB - regional bank, clearing new 52-week high from a good base. Relatively thin. http://stks.co/hMMx",0.384,stocktwits,12134471
16517$OIL,"$Oil slid to a four-year low after #OPEC kept its oil production unchanged 
http://stks.co/a1IX4 $USO $WTI $Brent",-0.369,stocktwits,29685449
16846$OIL,"With Oil Prices Down further, Oil Stocks Looking Less Cheap http://stks.co/a1RKF $AREX $CPE $CRZO $OIL $GST $NBL $OAS $OXY",-0.42,stocktwits,30827588
16374$OIH,"No, It’s Not Time To Buy Energy Stocks Yet! http://stks.co/e1Kqd $WTIC $XEL $USO $OIH",-0.382,stocktwits,29978808
16501$OFIX,Just stumbled upon this amazing chart - $OFIX - holy guac. SUPER overbought. http://stks.co/e0PX1,-0.497,stocktwits,21776929
15402$OCZ,RT @KDouble $OCZ WTF! Not complaining. Got in at $4.50 but this is playing with my emotions.AMEN its a decent Co should get bought IMHO,0.214,stocktwits,8866500
15507$OCZ,Add to $OCZ here,0.483,stocktwits,6427709
15957$OCN,$ocn has the stuff. Will be looking to add shares if we get a new high breakout.,0.421,stocktwits,11379892
16846$OAS,"With Oil Prices Down further, Oil Stocks Looking Less Cheap http://stks.co/a1RKF $AREX $CPE $CRZO $OIL $GST $NBL $OAS $OXY",-0.42,stocktwits,30827588
15938$NYA,$RIMM $spx $nya $compq $djia all going down,-0.559,stocktwits,11781180
16937$NXTD,today's top gainers http://stks.co/t1jZz #stocks $PRTA $CTRP $NXTD,0.447,stocktwits,34349961
15206$NWFL,Going to read through $FNFG quarterlies and listen to calls before bead this one is looking beat up and interesting but already have $NWFL,-0.018,stocktwits,5812515
16001$NVTL,$NVTL above 2.25 and it could get going?,0.26,stocktwits,17792722
15889$NVDQ,$NVDQ watch for momentum above $15 http://stks.co/eh0K,0.405,stocktwits,15530874
15175$NVDA,$NVDA sideways,0,stocktwits,5601699
15833$NUGT,$NUGT $DUST Patience pays when holding these.if u bought at the lowest you have nothing to worry about.even if it is catching falling knife,0.409,stocktwits,16054917
16058$NUGT,$NUGT longer term bullish,0.814,stocktwits,18060935
16110$NUGT,$NUGT Gold above 1400...wow,0.424,stocktwits,15421202
16318$NUGT,"US Adds 321K Jobs In November, Most Since 2012, Unemployment Rate Remains At 5.8% Gold Futures off $16 at $1191 $GDXJ $SPY $GLD $SLV   $NUGT",0.106,stocktwits,29932186
16819$NUGT,"""@DrCooper: $GDX $NUGT $DUST Buying on Weakness (06/30/2015)""",0.511,stocktwits,39047253
17056$NUE,"$AKS Well here you go..at least you know what sector will be white hot next week..huge buy in all these names..$AKS,$NUE,$STLD,$X..nice work",0.608,stocktwits,37312789
17082$NUAN,$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,0.695,stocktwits,34273656
16920$NTLS,End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,0.457,stocktwits,39047668
16444$NTES,Found some good bull setups this week: $REGN $XRS $SNCR $TJX $NTES $ABC $ECHO $AMAG $HAWK $PANW $TAM $AGN --> Let's see if mkt helps out,0.448,stocktwits,28165236
16536$NTAP,3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.,0.214,stocktwits,23199841
17029$NSP,Bull Of The Day: Insperity Inc $NSP  http://stks.co/p1fuP,0.633,stocktwits,33818248
15451$NSM,"RT @ERob Next long I'm eyeing is $NSM over $27.00.../I'm going with you on this one - only 400 shares, though",0.426,stocktwits,9298895
15549$NSM,$NSM ascending base breakout starting to gain traction; strong stock http://stks.co/gBSH,0.605,stocktwits,9600757
16235$NQ,$NQ  Could that have been a strategy to exit shorts before the big pop?,0.316,stocktwits,28243743
16255$NQ,$NQ This stock is just consolidating through accumulation. Day traders pegging that $16 range. Will be funny to see shorts get creamed.,0.377,stocktwits,19135590
16613$NQ,"$NQ glorious stuff...the selling days appear exhausted, back to BTFD, old school stuff....after 7 is 7.20, then 8, then 9, 10, etc.....",0.376,stocktwits,27332781
16672$NQ,$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,-0.551,stocktwits,20816832
15772$NOK,@jlptrad @Zenite $NOK China Mobile and China Telecom will lead Q1 upside surprise IMO.,0.348,stocktwits,12942009
16160$NOK,@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment,0.404,stocktwits,12790708
16299$NOK,$NOK Smartphone Wars Wound Samsung as Nokia Rallies: Chart of the Day http://stks.co/g0tcW,0.135,stocktwits,25341716
14883$NOC,11 industrial-goods stocks insiders are bullish on http://stks.co/ep7 $cat $ba $hon $emr $itw $wm $noc $etn $ph $rsg $fast,0.433,stocktwits,5441240
14859$NLY,"@TraderBerlin i'm not as saavy, $SQNS drops to $5.15, I'm in, will push $NLY investment to another time.",-0.083,stocktwits,5502351
16982$NKE,$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,0.782,stocktwits,34298461
15422$NIHD,$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,-0.202,stocktwits,7040295
16920$NGL,End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,0.457,stocktwits,39047668
15485$NGD,"If you shorted Gold/Silver recently at the bottom, you will enjoy the bull run that just started $GLD $SLV $NGD $AG $$",0.376,stocktwits,8032355
14880$NFLX,RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,0.578,stocktwits,6027889
15226$NFLX,These companies shld be worried about iCloud $goog $sfly $nflx $emc $vmw $yhoo $msft,-0.329,stocktwits,5806487
15732$NFLX,$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,0.231,stocktwits,18526288
15921$NFLX,$NFLX +3% of the lows,0.323,stocktwits,13842673
15975$NFLX,$NFLX support 212.93 no support to 209.45,0.166,stocktwits,13321680
16011$NFLX,"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",-0.341,stocktwits,14386410
16039$NFLX,"$NFLX small pos, short 180 wkly puts.",-0.597,stocktwits,12246765
16287$NFLX,$NFLX Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report..800$ year end no matter what,0.577,stocktwits,19863962
16354$NFLX,A lot of high flyers like $NFLX (no position) r getting their wings clipped today. I would blame the 6-month comment by Yellen.,-0.294,stocktwits,21272771
16358$NFLX,$NFLX I Love blood like a vampire.....Keep bleeding for me,-0.391,stocktwits,28402613
16372$NFLX,"$NFLX if it gets to about 440, there's a good short spot.",-0.434,stocktwits,23655121
16730$NFLX,Netflix $NFLX launching in Japan in the fall. Think this will be one of fastest launches of any country to date.,0.384,stocktwits,36925712
16853$NFLX,"$NFLX  Lol, earning report fear or profit taken...",-0.299,stocktwits,35397386
16968$NFLX,$NFLX my buddy bet the bank on NFLX made $350000,0.432,stocktwits,35488607
15965$NEPT,"$AMRN gets 26 patents and goes down $10, $NEPT gets a patent and goes up .20 today.",0.432,stocktwits,14646229
16926$NEON,$NEON oversold,0.43,stocktwits,37635102
15238$NEM,"Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate",0.394,stocktwits,5704829
16654$NEM,Okay i'm looking to add a gold miner and possibly lower pe tech name into close/ tmrw. Watching $nem $hl $kgc $csco $ibm $hpq.,0.425,stocktwits,24504842
17075$NDX,for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,-0.501,stocktwits,39025868
14894$NCTY,One of my Favorite Longs Right Now | via @StockSage1 http://stks.co/bqd $NCTY,0.467,stocktwits,5409793
16846$NBL,"With Oil Prices Down further, Oil Stocks Looking Less Cheap http://stks.co/a1RKF $AREX $CPE $CRZO $OIL $GST $NBL $OAS $OXY",-0.42,stocktwits,30827588
15859$NBG,"Is It Finally the Right Time to Invest in National Bank of Greece? ($IRE, $NBG, $NBG-A): http://stks.co/sTIh via @themotleyfool",0.155,stocktwits,15946770
16721$NBG,"$NBG keep an eye on the PM 0.80 low. NBG spikes its lows. so if it revisits 0.80, lower it will go...will c next few days & wknd",-0.517,stocktwits,39048817
16931$NBG,$NBG Official: EU announced default of pmt due today....& they added..we will have discussions...whatever that means,-0.295,stocktwits,39047705
16925$NAVB,"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",0.325,stocktwits,31958885
16491$MXWL,$MXWL Oh snap. Just went long again. LT,0.691,stocktwits,26304683
14934$MWW,Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,0.348,stocktwits,5357035
15781$MW,meanwhile this absolute garbage still up. $MW stores TOTALLY EMPTY. inventory galore. stock mispriced $JOSB,-0.553,stocktwits,17892972
14904$MVIS,$MVIS gets NASDAQ Delisting Notice -- How worrisome should this be?  Maybe $MVIS board will quit diluting the shares???,-0.551,stocktwits,5614354
15140$MU,"$MU http://stks.co/1f0l $MU running away with the spoon, looking for  a healthy pull back, but longterm target 8.. IRA play",0.005,stocktwits,6190411
16224$MU,RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,-0.046,stocktwits,21851551
17124$MU,Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,-0.596,stocktwits,33087415
16920$MTNOY,End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,0.457,stocktwits,39047668
15596$MTD,$MTD (Mettler-Toledo) ready for a breakout,0.428,stocktwits,8985512
16225$MSTX,"Never told this before, but the situation is ""Buy the dip"": $KNDI, $OPTT, $OMER, $DNDN, $MBLX, $MSTX, $IFON, $IMUC, $LF, $TGA",0.38,stocktwits,22409313
15226$MSFT,These companies shld be worried about iCloud $goog $sfly $nflx $emc $vmw $yhoo $msft,-0.329,stocktwits,5806487
15327$MSFT,MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,0.444,stocktwits,6356178
16012$MSFT,$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,-0.528,stocktwits,14668154
16020$MSFT,Nomura ests that Xbox platform will lose at least $1B for $MSFT in 2014 & may not be profitable for another year or so after that - $SNE,-0.392,stocktwits,17610673
16084$MSFT,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,0.454,stocktwits,16794460
16459$MSFT,"$MSFT short , will cover in the high 30s if all goes as planned. LOL",-0.632,stocktwits,21368480
16833$MSFT,"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",0.594,stocktwits,32689500
15418$MS,$MS IMO dont think get chance to buy below $16 UNLESS europe falls otherwise folks will wake up n see $JPM earnings were good and $BAC too,0.336,stocktwits,7595388
15827$MS,$MS still an interesting finance play... been in this one since the 14's- hold,0.305,stocktwits,17688269
16921$MS,"@JohnChen #BlackBerry $GS $MS #Faucette & #Simona, JMHO are playing ignorant, so the $BBRY smack down looks legitimate",-0.105,stocktwits,38563467
16888$MPWR,$MPWR CEO sells 450k april 15th..meh,-0.195,stocktwits,35746666
15261$MPEL,Impressive- $MPEL had 45% revenue growth y/y last quarter.... Whew,0.507,stocktwits,6345061
14891$MOS,$MOS looking good here at $58.65. Calls are active in this month and weekly,0.492,stocktwits,5728814
15752$MNKD,$MNKD Ahha.  Someone wants in....,0.29,stocktwits,15108978
16091$MNKD,$MNKD not selling before CC.,0.081,stocktwits,15199192
16512$MNKD,"$MNKD Morgan will weight this stock as oversold, strong buy within a month",0.496,stocktwits,27914585
16815$MNKD,$MNKD will get in on the next run up,0.275,stocktwits,36653675
17016$MMM,$MMM to buy safety equipment maker for $2.5 billion http://stks.co/g2cvJ,0.23,stocktwits,38653963
15345$MITK,$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,-0.26,stocktwits,7853493
15738$MGM,Active puts @ CBOE; $AAPL 9/27/13 480 $LAMR Oct 43 & Jan 37 $MGM Jan15 10,-0.49,stocktwits,16084152
15580$MFLX,$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here,-0.412,stocktwits,6445155
14973$MELI,"RT @StockTwits50 In a mostly red tape this morning, biggest St50 gainers are $MELI $PKT $SWI",0.452,stocktwits,6006891
15099$MCP,$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,-0.607,stocktwits,6220317
15997$MCP,$MCP  this one looks to setting up for a break to new lows imho   just think the touts told ya buying at 7.50ish was almost a sure thing,-0.445,stocktwits,15452429
15576$MCD,Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,-0.474,stocktwits,7156920
17085$MCD,Why $MCD looks set to fall further. http://stks.co/f2fgj,-0.545,stocktwits,38960261
16225$MBLX,"Never told this before, but the situation is ""Buy the dip"": $KNDI, $OPTT, $OMER, $DNDN, $MBLX, $MSTX, $IFON, $IMUC, $LF, $TGA",0.38,stocktwits,22409313
15912$MBI,Hedge Fund GSO Scores Win With MBIA Bet http://stks.co/rOCc Risky bet that paid off; he realized the banks would have2 compromise $$ $MBI,0.291,stocktwits,15112007
17115$MATW,Trade-Ideas: Matthews International Corporation (MATW) Is Today's Strong And Under The Radar Stock $MATW http://stks.co/j2RYE,0.471,stocktwits,37516896
16309$MAT,"""@Stockoptionexpert: $MAT - 6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols""",-0.576,stocktwits,30510416
15223$MAKO,$mako hanging in well today. still in a basing pattern. have eyes on it,0.195,stocktwits,5625939
15001$MA,$MA http://stks.co/1CYN continues to consolidate / base here,0.148,stocktwits,5855847
15131$MA,$V is #17 and $MA is #10 on the IBD50 list. Both look good to me,0.392,stocktwits,5613478
15771$MA,"$MA 580+ should be coming very quick, if the FED supports the markets 610.",0.296,stocktwits,14127963
16003$MA,$MA Puts 550 28-Jun 1 5 Profitable trade,-0.378,stocktwits,14376926
15472$LYB,$LYB 55.14 entry idea (coming out of a narrow intraday range with yesterdays high still above),0.3,stocktwits,10041230
15051$LVS,"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",-0.442,stocktwits,5466785
16863$LUV,$LUV Continues to consolidate above previous break out area...,0.227,stocktwits,33922154
16797$LUV,Southwest Is at Its Lowest Multiple Ever $LUV http://stks.co/r2Gxj,0.106,stocktwits,38113800
15064$LULU,Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,0.006,stocktwits,5765754
15088$LULU,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",0.011,stocktwits,5957065
15421$LULU,"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",0.351,stocktwits,8596960
16048$LULU,$LULU #Outlook #Q1 2013 #lost revenue in the range of $12 million to $17 million -not good,-0.43,stocktwits,12661281
16368$LULU,$LULU Signs of life are emerging :),0.27,stocktwits,21487028
15857$LTM,$LTM Selling far from over. A few weeks ago we noted that a large bearish channel up formed with a measured move to $42  http://stks.co/cJni,-0.629,stocktwits,11855861
15712$LSCC,$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,0.497,stocktwits,10397968
16779$LPTH,$VICL $LPTH hot,0.354,stocktwits,38028268
16751$LPG,End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,-0.385,stocktwits,39047349
16929$LPG,End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,-0.516,stocktwits,39047349
16239$LOCO,$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,0.485,stocktwits,25571322
15209$LNT,$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,0.324,stocktwits,5983670
15170$LNKD,MY $LNKD short worked. Thank you $GMCR for the hint. $LNKD puts up 50%,-0.467,stocktwits,5819749
15847$LNKD,$URI over 100% upside left from here in next 6 mnths based  $SINA nov 2010 $LNKD 100% from here based off $BIDU july 2007. History rhymes,0.472,stocktwits,12108658
16399$LNKD,LinkedIn Revenue Up Nearly 50% http://stks.co/g1F4T  $LNKD,0.423,stocktwits,28667760
16458$LNKD,Curious to know why $LNKD Is at 220 and $FB Is 74? LNKD is great but doesnt the potential side with Fb? And $CRM Seems a little to high also,0.283,stocktwits,29352447
16526$LNKD,$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,-0.228,stocktwits,20806486
14933$LNG,"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",-0.543,stocktwits,6008136
15612$LNG,RT @bman1 $LNG looks primed also $EGHT poised to run too...,0.381,stocktwits,6598629
16006$LMT,Entering long Lockheed Martin $LMT at Thursday's open. http://stks.co/eXtA,0.627,stocktwits,14073133
15817$LINE,$LINE biggies must be loading up here at lows..,0.438,stocktwits,14427501
16225$LF,"Never told this before, but the situation is ""Buy the dip"": $KNDI, $OPTT, $OMER, $DNDN, $MBLX, $MSTX, $IFON, $IMUC, $LF, $TGA",0.38,stocktwits,22409313
15531$LEE,$LEE http://stks.co/24kM LEE ready to exit bankruptcy. Strong volume today.,0.298,stocktwits,6521056
15762$LEDS,"$CREE $VECO $RBCN $LEDS March LED light bulb prices rise in Japan, fall in other markets http://stks.co/dQHT",0.054,stocktwits,13028004
16951$LCI,"$LCI is a later riser, just like the last few days.  Jan. 14 Healthcare Conference presentation.  Positive catalyst?",0.203,stocktwits,31112742
15738$LAMR,Active puts @ CBOE; $AAPL 9/27/13 480 $LAMR Oct 43 & Jan 37 $MGM Jan15 10,-0.49,stocktwits,16084152
16499$LAKE,"$LAKE I can't understand the logic of shorting this now. Oh well, it helps the price go up I guess.",0.245,stocktwits,27748940
15635$KYAK,"While fear is mechanically driving public markets LOWER, record corp. cash & cheap financing is fueling a wave of acquisitions $KYAK $TEA",0.208,stocktwits,10573348
15257$KRE,@taddpole out of $KRE 27.76 (0.11 gain),-0.381,stocktwits,10989058
16812$KRE,Regional Banks Are Especially Primed for Liftoff Even as the Entire Sector Will Benefit $KRE http://stks.co/i2K6h,0.482,stocktwits,36870342
15489$KORS,"$KORS Any1 somehow spinning ER, which was stellar, into something negative is some1 who got caught short on it. Should rise again 2morrow.",0.113,stocktwits,8308437
16629$KORS,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,0.431,stocktwits,29716880
16657$KORS,$KORS in trouble ? is that earnings gap still unfilled  ? ~82,-0.368,stocktwits,23856399
16342$KOL,Coal stocks are poking their head up. Here's what I was looking at earlier this week http://stks.co/a0o8d very nice weekly candle $KOL,0.362,stocktwits,25043071
15168$KOG,$KOG Took a small position- hopefully a better outcome than getting kneecapped by $BEXP selling itself  dirt cheap at 36.50,0.344,stocktwits,5834712
15331$KOG,$KOG i love how stocks freefall down but have to struggle to climb,-0.279,stocktwits,7422678
15767$KO,BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,0.551,stocktwits,13914445
16321$KO,"$KO had missed earnings expectations for the last two quarters, so today’s strong results came as a major surprise http://stks.co/d0RHF",0.338,stocktwits,22057461
16225$KNDI,"Never told this before, but the situation is ""Buy the dip"": $KNDI, $OPTT, $OMER, $DNDN, $MBLX, $MSTX, $IFON, $IMUC, $LF, $TGA",0.38,stocktwits,22409313
16387$KNDI,$KNDI She wants to take it out - she wants it bad apparently. People still coming in. This EOD could be explosive shorts get caught.,0.257,stocktwits,18613620
16439$KNDI,"$KNDI Investors broke the news before the Company confirmed it, that is a positive as top notch Investor DD can be trusted.",0.519,stocktwits,23547862
16641$KNDI,"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",0.396,stocktwits,24794203
16928$KNDI,"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.",0.602,stocktwits,34060864
16478$KNDI,"Rob just added $25 PT for $KNDI ""Subsidies & 300% + sales."" , $0 PT consensus http://stks.co/h0hKD",0.439,stocktwits,23613218
16243$KMP,Downbeaten stocks may be ripe for buys:  $SAN $VALE $AA $KMP $WPRT $CREE,0.316,stocktwits,21382309
16315$KMB,$KMB short... http://stks.co/g0iXf,-0.633,stocktwits,23765380
16239$KKD,$DNKN $KKD $DPZ $LOCO Inside week buy triggers. http://stks.co/h0vV8  http://stks.co/r0ebN,0.485,stocktwits,25571322
15537$KITD,$KITD Looking for a oversold bounce.,0.436,stocktwits,10716152
16396$KIOR,$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,-0.302,stocktwits,21820286
15610$KGC,"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",0.303,stocktwits,7665984
16654$KGC,Okay i'm looking to add a gold miner and possibly lower pe tech name into close/ tmrw. Watching $nem $hl $kgc $csco $ibm $hpq.,0.425,stocktwits,24504842
15765$KERX,$KERX .... did anyone see a last minute BIG BUY before yesterday close ????,0.405,stocktwits,12085207
16602$KEP,$KEP breaking out when the market pulls back  http://stks.co/r0cet,0.413,stocktwits,25333030
16257$KEG,New bullish conversation activity in $KEG. Had been quiet for past 48 hours.,0.461,stocktwits,30419243
15439$KCG,$KCG bot at 2.24,0.384,stocktwits,10561783
15019$KBE,$KBE moves up to my TR1 long watchlist.,0.459,stocktwits,5398884
15329$JWN,Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,0.315,stocktwits,8582567
15210$JVA,$JVA being pushed up by a few jack monkey's. This thing will b short to $3 soon. Gonna add sedond short somewhere in the high 14's if we get,-0.526,stocktwits,5437050
15161$JRCC,$JRCC http://stks.co/1gdx Long setup: One name (of many) from coal sector that is displaying this same pattern.,0.43,stocktwits,6207860
15418$JPM,$MS IMO dont think get chance to buy below $16 UNLESS europe falls otherwise folks will wake up n see $JPM earnings were good and $BAC too,0.336,stocktwits,7595388
15868$JPM,$JPM its time to sell banks,-0.763,stocktwits,16142438
15781$JOSB,meanwhile this absolute garbage still up. $MW stores TOTALLY EMPTY. inventory galore. stock mispriced $JOSB,-0.546,stocktwits,17892972
15949$JOE,$JOE Getting attention. No.2 on NYSE 100 top buying list  http://stks.co/iqKi,0.637,stocktwits,16681249
16097$JO,"GO $JO GO get up out of that Bermuda Triangle , plenty of daylight above.",0.3,stocktwits,16344567
16618$JNUG,$GDX $GDXJ $JNUG - strong move today for the Junior Gold Miners - keep an EYE out for a gap fill -,0.55,stocktwits,30403288
16631$JNUG,$JNUG $GDX $GDXJ $JNUG Intraday B/O on bull flag? http://stks.co/h1PLX,0.461,stocktwits,30091485
15621$JNK,$JNK http://stks.co/2Fcm Does not want to go down... risk appetite still high,0.272,stocktwits,6692038
15775$JE,"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",0.391,stocktwits,12720972
16751$JDST,End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,-0.385,stocktwits,39047349
16929$JDST,End Of Day Scan: Stochastic Overbought $JDST $FREE $BLRX $LPG $AFSI $DVAX $HDGE $AHT $ALR $ASMB  www.dailystockplays.com,-0.516,stocktwits,39047349
16098$JCP,@Ron_Swanson yes. Bernanke just said he'd buy $JCP at a $9 floor.  It can't go bankrupt anymore,0.26,stocktwits,16134873
16989$JCP,$JCP Worst stock of 2015.,-0.808,stocktwits,30800471
15573$JBLU,$JBLU Out Jan 5 calls +.05. Too illiquid for my liking,-0.304,stocktwits,10989872
14979$JBHT,RT @traderstewie Wanna see 3 awesomely bullish stocks??!! Check out $FDX $UPS $JBHT !! Europe might a mess but people still shipping stuff!!,0.68,stocktwits,6140513
16113$JAZZ,@plennejm I think $JAZZ has plenty of room to run and lots of momentum to continue pushing it to new highs. Currently have a PT of $150+,0.57,stocktwits,18405590
14944$IYT,"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=",0.594,stocktwits,5985013
15046$IWM,RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,-0.443,stocktwits,6139459
15376$IWM,$IWM and $QQQ trying to lead higher here... gonna be tough,0.256,stocktwits,11195606
15769$IWM,$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,0.534,stocktwits,11763766
16168$IWM,$IWM Short week next week.  Charts targeting a high of $92.80.  $TNA $84.65  $TZA $9.97. Still holding 150 $TNA shares from 450. SL 79.11,-0.32,stocktwits,12105568
16220$IWM,"""@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm""",-0.382,stocktwits,22957112
16298$IWM,$IWM relative weakness is pretty apparent but the short boat is getting full on this one. I prefer the boat closer to empty.,-0.262,stocktwits,25095014
16328$IWM,"$IWM,this pull back of 2.94 is similar to last 4....2.86,2.82,2.73 and 2.62=bullish if LOD holds",-0.03,stocktwits,24423708
17051$IWM,$IWM same conditions that sent markets to tumble all hitting this week,-0.236,stocktwits,34033708
16854$IWM,$SPY $DIA $IWM Time to stomp on some dreams.,-0.258,stocktwits,37450150
15518$IWC,Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.,0.308,stocktwits,7399381
14883$ITW,11 industrial-goods stocks insiders are bullish on http://stks.co/ep7 $cat $ba $hon $emr $itw $wm $noc $etn $ph $rsg $fast,0.433,stocktwits,5441240
16762$ITF,3 Top Japan ETFs To Surge Higher In 2H $DFJ $ITF  $QJPN http://stks.co/h2fJv,0.456,stocktwits,38895736
